userId,isAdmin,userName,userCompany,userRevenuePercent,userStatus,userEmail,userPassword
1,false,Torrence,Brightbean,24,Active,tgallihaulk0@wufoo.com,5EY3yInhx8L5
2,false,Abagael,Linkbridge,7,InActive,abaswall1@sina.com.cn,2uC5Ow9qs
3,true,Rachele,Yacero,17,InActive,rcoolson2@parallels.com,zy7YpJs
4,true,Chiarra,Twinte,13,InActive,cedwardes3@xrea.com,xcqLIU6yqqFh
5,false,Jordon,Ntags,20,InActive,jdicarli4@biglobe.ne.jp,iRsYwPgNCJ
6,true,Ansley,Zoonder,21,Active,adelavaletteparisot5@howstuffworks.com,SAKJkfJfqoPQ
7,true,Kali,Browsetype,6,Active,khousego6@lycos.com,ut5zXDqMbJ
8,true,Rafael,Browsecat,6,Active,rbettenay7@chron.com,JUm1KFmnz
9,true,Ivy,Realblab,23,InActive,iomulderrig8@jalbum.net,oM01T5ymisAr
10,true,Wrennie,Trilia,22,InActive,wrannells9@seattletimes.com,dHS7iMSYzdr
